title,type,country,worldwide_gross
Grown Ups,Movie,United States,"$272,223,430 "
Dark Skies,Movie,United States,"$27,704,111 "
Paranoia,Movie,"United States, India, France","$16,173,593 "
Jaws,Movie,United States,"$470,700,000 "
Jaws 2,Movie,United States,"$208,900,376 "
Safe House,Movie,"South Africa, United States, Japan","$208,542,162 "
Training Day,Movie,United States,"$104,505,362 "
Bright Star,Movie,"United Kingdom, Australia, France","$17,220,091 "
In the Cut,Movie,"United Kingdom, Australia, France, United States","$23,693,646 "
A Cinderella Story,Movie,"United States, Canada","$70,164,105 "
An Unfinished Life,Movie,"Germany, United States","$18,535,575 "
Chappie,Movie,"South Africa, United States","$105,002,056 "
Clear and Present Danger,Movie,"United States, Mexico","$207,500,000 "
Cliffhanger,Movie,"United States, Italy, France, Japan","$255,000,000 "
Cold Mountain,Movie,"United States, Italy, Romania, United Kingdom","$165,173,909 "
Crocodile Dundee in Los Angeles,Movie,"Australia, United States","$39,393,111 "
Dear John,Movie,United States,"$142,033,509 "
Do the Right Thing,Movie,United States,"$26,004,026 "
Freedom Writers,Movie,"Germany, United States","$43,632,609 "
Green Lantern,Movie,United States,"$219,535,492 "
House Party 2,Movie,United States,"$19,438,638 "
In Too Deep,Movie,United States,"$15,471,229 "
Letters to Juliet,Movie,United States,"$82,148,538 "
Mars Attacks!,Movie,United States,"$101,371,017 "
My Boss's Daughter,Movie,United States,"$15,549,702 "
Mystery Men,Movie,United States,"$33,462,011 "
Once Upon a Time in America,Movie,"Italy, United States","$5,564,014 "
Osmosis Jones,Movie,United States,"$13,596,911 "
Poseidon,Movie,United States,"$181,674,817 "
School of Rock,Movie,"United States, Germany","$131,945,303 "
Tears of the Sun,Movie,United States,"$85,632,458 "
The Blue Lagoon,Movie,United States,"$47,923,795 "
The Golden Child,Movie,United States,"$79,817,937 "
The Interview,Movie,United States,"$12,342,632 "
The Nutty Professor,Movie,United States,"$273,814,019 "
Welcome Home Roscoe Jenkins,Movie,United States,"$43,607,627 "
The November Man,Movie,"United States, United Kingdom","$34,820,335 "
Like Crazy,Movie,United States,"$3,731,489 "
The Piano,Movie,"New Zealand, Australia, France, United States","$40,157,856 "
