tdmb_id,idmb_id,title,budget,revenue
2, tt0094675, Ariel,0,0
3, tt0092149, Shadows in Paradise,0,73
5, tt0113101, Four Rooms,4000000,74
8, tt0825671, Life in Loops (A Megacities RMX),42000,98
9, tt0425473, Sunday in August,0,12136938
12, tt0266543, Finding Nemo,94000000,0
13, tt0109830, Forrest Gump,55000000,80
14, tt0169547, American Beauty,15000000,0
15, tt0033467, Citizen Kane,839727,15
17, tt0411267, The Dark,0,775398007
18, tt0119116, The Fifth Element,90000000,121
19, tt0017136, Metropolis,1300000,940335536
20, tt0314412, My Life Without Me,0,100
21, tt0060371, The Endless Summer,0,677387716
22, tt0325980, Pirates of the Caribbean: The Curse of the Black Pearl,140000000,142
24, tt0266697, Kill Bill: Vol. 1,30000000,122
25, tt0418763, Jarhead,72000000,23218000
26, tt0352994, Walk on Water,1400000,119
27, tt0411705, 9 Songs,1000000,40031879
28, tt0078788, Apocalypse Now,31500000,141
33, tt0105695, Unforgiven,14400000,650422
35, tt0462538, The Simpsons Movie,75000000,9726954
38, tt0338013, Eternal Sunshine of the Spotless Mind,20000000,91
59, tt0399146, A History of Violence,32000000,527068851
63, tt0114746, Twelve Monkeys,29000000,72258126
64, tt0287467, Talk to Her,0,108
81, tt0087544, Nausicaä of the Valley of the Wind,1000000,20908467
82, tt0430357, Miami Vice,135000000,154
85, tt0082971, Raiders of the Lost Ark,18000000,1065659812
86, tt0430051, The Elementary Particles,6000000,151
87, tt0087469, Indiana Jones and the Temple of Doom,28000000,60740827
88, tt0092890, Dirty Dancing,6000000,96
91, tt0023037, Land Without Bread,0,71923560
92, tt0169024, Megacities,0,149
93, tt0052561, Anatomy of a Murder,2000000,168841459
94, tt0436488, Kunstgriff,0,129
95, tt0120591, Armageddon,140000000,51001550
96, tt0092644, Beverly Hills Cop II,28000000,112
97, tt0084827, Tron,17000000,242875078
98, tt0172495, Gladiator,103000000,111
99, tt0185125, All About My Mother,8272296,50068310
100, tt0120735, Lock Stock and Two Smoking Barrels,1350000,121
101, tt0110413, Léon: The Professional,16000000,3395627
102, tt0315543, Open Hearts,0,90
103, tt0075314, Taxi Driver,1300000,0
104, tt0130827, Run Lola Run,1530000,143
105, tt0088763, Back to the Future,19000000,186797986
106, tt0093773, Predator,15000000,136
107, tt0208092, Snatch,10000000,216763646
108, tt0108394, Three Colors: Blue,0,132
109, tt0111507, Three Colors: White,0,109280263
110, tt0111495, Three Colors: Red,0,110
112, tt0243862, Italian for Beginners,0,23875127
113, tt0374546, Spring  Summer  Fall  Winter... and Spring,0,119
114, tt0100405, Pretty Woman,14000000,603873119
115, tt0118715, The Big Lebowski,15000000,117
116, tt0416320, Match Point,15000000,101371017
117, tt0094226, The Untouchables,25000000,106
118, tt0367594, Charlie and the Chocolate Factory,150000000,5987386
120, tt0120737, The Lord of the Rings: The Fellowship of the Ring,93000000,39723096
121, tt0167261, The Lord of the Rings: The Two Towers,79000000,113
122, tt0167260, The Lord of the Rings: The Return of the King,94000000,41670166
123, tt0077869, The Lord of the Rings,4000000,118
124, tt0086961, No End,0,177394432
125, tt0080668, Railway Station,0,99
126, tt0082631, Short Working Day,0,15992615
127, tt0084549, Blind Chance,0,80
128, tt0119698, Princess Mononoke,26500000,3301446
129, tt0245429, Spirited Away,19000000,117
132, tt0065780, Gimme Shelter,0,54667954
133, tt0054205, Primary,0,79
135, tt0061589, Dont Look Back,0,389925971
136, tt0022913, Freaks,310607,115
137, tt0107048, Groundhog Day,14600000,0
138, tt0021814, Dracula,355000,105
139, tt0164756, Mifune,0,333000000
140, tt0275491, Bad Education,5000000,118
141, tt0246578, Donnie Darko,6000000,213893795
142, tt0388795, Brokeback Mountain,14000000,100
143, tt0020629, All Quiet on the Western Front,1448864,474171806
144, tt0093191, Wings of Desire,2500000,127
145, tt0115751, Breaking the Waves,0,316360478
146, tt0190332, Crouching Tiger  Hidden Dragon,17000000,105
147, tt0053198, The 400 Blows,0,0
148, tt0430576, The Secret Life of Words,5000000,29
149, tt0094625, Akira,10000000,0
150, tt0083511, 48 Hrs.,12000000,94
152, tt0079945, Star Trek: The Motion Picture,35000000,161
153, tt0335266, Lost in Translation,4000000,0
154, tt0084726, Star Trek II: The Wrath of Khan,12000000,6
155, tt0468569, The Dark Knight,185000000,553799566
156, tt0329767, Wilbur Wants to Kill Himself,0,151
157, tt0088170, Star Trek III: The Search for Spock,18000000,299965036
158, tt0119472, Knockin' on Heaven's Door,0,103
159, tt0109255, Maybe... Maybe Not,0,33000000
160, tt0000012, The Arrival of a Train at La Ciotat,0,96
161, tt0240772, Ocean's Eleven,85000000,465361176
162, tt0099487, Edward Scissorhands,20000000,155
163, tt0349903, Ocean's Twelve,110000000,67872296
164, tt0054698, Breakfast at Tiffany's,2500000,101
165, tt0096874, Back to the Future Part II,40000000,28356188
166, tt0082100, The Party,0,105
167, tt0272152, K-PAX,48000000,45284974
1018, tt0166924, Mulholland Drive,15000000,20117339
1024, tt0110005, Heavenly Creatures,5000000,0
1058, tt0085276, Breathless,0,41158757
1059, tt0051808, The Hidden Fortress,0,104
1088, tt0298228, Whale Rider,8000000,127
1103, tt0082340, Escape from New York,6000000,83531958
1123, tt0437232, Catch a Fire,14000000,99
1245, tt0107943, The Remains of the Day,11500000,128798265
1246, tt0479143, Rocky Balboa,24000000,139
1277, tt0155722, Gloomy Sunday,0,957744
1278, tt0309987, The Dreamers,15000000,114
1279, tt0397619, Samaritan Girl,1000000,23237911
1280, tt0423866, 3-Iron,0,134
1281, tt0118689, Bean,18000000,155721132
1282, tt0275309, Dogtown and Z-Boys,0,102
1283, tt0120868, Torrente the Dumb Arm of the Law,0,100266865
1284, tt0257231, Torrente 2: Mission in Marbella,0,167
1285, tt0444505, Torrente 3: The Protector,5473145,82169884
1294, tt0461694, Four Minutes,0,108
1363, tt0120699, The Hi-Lo Country,0,0
1364, tt0254455, Sex and Lucía,0,112
1428, tt0285823, Once Upon a Time in Mexico,29000000,2279692
1429, tt0307901, 25th Hour,5000000,80
1430, tt0310793, Bowling for Columbine,4000000,34266564
1433, tt0256009, The Devil's Backbone,4500000,123
1435, tt0390538, Tarnation,218,98
1436, tt0275083, The Warrior,8000000,0
1437, tt0388679, Abgefahren,0,77
1438, tt0940833, Regoch,0,0
1439, tt0166485, Anna and the King,75000000,114
1440, tt0404203, Little Children,26000000,7640680
1441, tt0445946, The Contract,25000000,128
2000, tt0068182, Aguirre, the Wrath of God,370000
2001, tt0498399, We Own the Night,21000000,95
2002, tt0437526, The Last Mistress,6000000,54926886
2003, tt0348529, Anatomy of Hell,0,117
2004, tt0177882, Kebab Connection,0,1831577
2005, tt0105417, Sister Act,31000000,114
2006, tt0051406, Bell, Book and Candle,0
2007, tt0104756, Lorenzo's Oil,0,77
2008, tt0417976, The Promise,0,0
2009, tt1032846, 4 Months, 3 Weeks and 2 Days,852510
2010, tt1016205, The Mourning Forest,0,231605150
2011, tt0808417, Persepolis,7300000,100
2012, tt0841925, Silent Light,0,0
2013, tt0401383, The Diving Bell and the Butterfly,14000020,106
2014, tt0880502, The Edge of Heaven,3800000,7286388
2015, tt0817225, Secret Sunshine,2900000,135
2016, tt0444182, Days of Glory,14500000,0
2017, tt0292610, No Good Deed,12000000,121
2018, tt0209475, The Wedding Planner,35000000,1185783
2019, tt0107076, Hard Target,18000000,114
2020, tt0120596, The Bachelor,51000000,0
2021, tt0113448, Jack & Sarah,0,97
2022, tt0280590, Mr. Deeds,50000000,0
2023, tt0317648, Hidalgo,100000000,95
2024, tt0187393, The Patriot,110000000,0
2025, tt0095943, A Few Days with Me,0,136
2026, tt0340163, Hostage,52000000,19777647
2028, tt0098258, Say Anything...,16000000,17804565
2029, tt0274155, Tanguy,0,122
2030, tt0050179, Confessions of Felix Krull,0,11581469
2031, tt0051382, Resurrection,0,142
2032, tt0416111, Transit,0,22963701
2033, tt0116635, Infinity,0,128
2034, tt0139654, Training Day,45000000,0
2035, tt0103108, Touch and Die,0,97
2036, tt0078812, Avalanche Express,12,94728529
2037, tt0083572, Aphrodite,0,103
2038, tt0103617, Iron Eagle III,0,74189677
2039, tt0093565, Moonstruck,15000000,97
2042, tt0120070, Savior,10000000,218626
2043, tt0164334, Along Came a Spider,60000000,110
2044, tt0410297, The Lake House,40000000,171269535
2045, tt0118040, Unforgettable,18000000,96
2046, tt0219699, The Gift,10000000,108103450
2047, tt0107927, The Real McCoy,0,136
2048, tt0343818, I, Robot,120000000
2049, tt0943512, How to Cook Your Life,0,165
2055, tt0316356, Open Range,22000000,20036737
2056, tt0340377, The Station Agent,500000,100
2057, tt0218922, Original Sin,42000000,24272365
2058, tt0118556, Addicted to Love,0,108
2059, tt0368891, National Treasure,100000000,0
2060, tt0075933, Spoiled Children,0,108
2061, tt0117407, Pusher,965000,0
2062, tt0382932, Ratatouille,150000000,105
2064, tt0114924, While You Were Sleeping,17000000,140
2065, tt0488565, Could This Be Love?,5621000,0
2067, tt0183523, Mission to Mars,90000000,104876233
2069, tt0190138, The Whole Nine Yards,41300000,0
2070, tt0075255, Love in 4 Easy Lessons,0,180
2071, tt0102900, Shattered,22000000,0
2072, tt0112763, Cyberjack,2000000,85
2074, tt0116324, Flirting with Disaster,7000000,95
2075, tt0089841, Prizzi's Honor,0,0
2076, tt0190938, Swindle,0,98
2077, tt0007264, The Rink,0,80640528
2078, tt0007162, The Pawnshop,0,102
2082, tt0373883, Halloween,15000000,103
2083, tt1328622, Guitar Men: The Darkest Secret of Rock 'n Roll,0,105178561
2084, tt0188453, Birthday Girl,13000000,104
2085, tt0165929, Romeo Must Die,25000000,114830111
2086, tt0113972, Nick of Time,8169363,99
2087, tt0109890, The Getaway,0,0
2088, tt0107983, Romeo Is Bleeding,11500000,106
2089, tt0211792, Cutaway,9,12008642
2090, tt0211407, The Heist,0,111
2091, tt0286493, The Badge,6000000,6484246
2092, tt0418329, Wish You Were Here,0,100
2093, tt0094651, Amsterdamned,98003,347234916
2094, tt0058534, Roustabout,0,115
2095, tt0167116, Desert Saints,0,0
2096, tt0156146, Tycus,0,93
2097, tt0061550, Gappa, the Triphibian Monster,0
2101, tt0380368, The Brother from Space,0,106269971
2102, tt0100649, Solar Crisis,55000000,137
2103, tt0307479, Solaris,47000000,68296293
2104, tt0286917, Requiem,0,139
2105, tt0163651, American Pie,11000000,8679814
2106, tt0059282, Hot Enough for June,0,88
2107, tt0102250, L.A. Story,0,35402320
2108, tt0088847, The Breakfast Club,1000000,118
2109, tt0120812, Rush Hour,33000000,34673095
2110, tt0281364, Wasabi,15300000,100
