tdmb_id,idmb_id,popularity,vote_average
2.0, tt0094675,10.636,6.8
3.0, tt0092149,8.329,7.2
5.0, tt0113101,20.88,5.7
6.0, tt0107286,9.596,6.5
8.0, tt0825671,2.628,7.5
9.0, tt0425473,1.135,7.1
11.0, tt0076759,86.1,8.2
12.0, tt0266543,116.916,7.8
13.0, tt0109830,53.713,8.5
14.0, tt0169547,33.589,8
15.0, tt0033467,26.002,8
16.0, tt0168629,15.695,7.9
17.0, tt0411267,10.412,5.8
18.0, tt0119116,44.786,7.5
19.0, tt0017136,19.985,8.2
20.0, tt0314412,13.152,5.8
21.0, tt0060371,6.27,7.4
22.0, tt0325980,146.402,7.8
24.0, tt0266697,48.599,8
25.0, tt0418763,30.559,6.6
26.0, tt0352994,6.506,7
27.0, tt0411705,28.062,5.6
28.0, tt0078788,32.25,8.3
33.0, tt0105695,25.145,7.9
35.0, tt0462538,131.169,7
38.0, tt0338013,47.304,8.1
55.0, tt0245712,29.425,7.6
58.0, tt0383574,143.33,7.3
59.0, tt0399146,13.449,7.2
62.0, tt0062622,35.337,8.1
63.0, tt0114746,33.469,7.6
64.0, tt0287467,15.773,7.6
65.0, tt0298203,46.9,7.1
66.0, tt0118548,11.728,6.6
67.0, tt0445620,6.522,7
68.0, tt0088846,15.356,7.7
69.0, tt0358273,19.555,7.5
70.0, tt0405159,25.371,8
71.0, tt0249462,17.452,7.6
73.0, tt0120586,35.101,8.4
74.0, tt0407304,40.697,6.5
75.0, tt0116996,32.117,6.4
76.0, tt0112471,21.189,7.9
77.0, tt0209144,26.866,8.2
78.0, tt0083658,38.191,7.9
79.0, tt0299977,26.181,7.5
80.0, tt0381681,15.664,7.8
81.0, tt0087544,36.652,7.9
82.0, tt0430357,17.138,5.9
83.0, tt0374102,24.559,5.5
85.0, tt0082971,32.64,7.9
86.0, tt0430051,8.314,6.2
87.0, tt0087469,37.196,7.3
88.0, tt0092890,24.952,7.4
89.0, tt0097576,37.531,7.8
90.0, tt0086960,25.01,7.2
91.0, tt0023037,5.631,7.1
92.0, tt0169024,1.842,7
93.0, tt0052561,11.538,7.8
94.0, tt0436488,1.13,10
95.0, tt0120591,51.131,6.8
96.0, tt0092644,21.12,6.4
97.0, tt0084827,39.651,6.7
98.0, tt0172495,58.253,8.2
99.0, tt0185125,12.625,7.7
100.0, tt0120735,8.885,8.2
101.0, tt0110413,51.891,8.3
102.0, tt0315543,5.999,6.9
103.0, tt0075314,42.384,8.2
104.0, tt0130827,19.359,7.4
105.0, tt0088763,78.768,8.3
106.0, tt0093773,82.789,7.5
107.0, tt0208092,21.058,7.8
108.0, tt0108394,23.239,7.7
109.0, tt0111507,15.97,7.5
110.0, tt0111495,20.056,8
111.0, tt0086250,56.585,8.2
112.0, tt0243862,6.811,6.4
113.0, tt0374546,14.389,7.8
114.0, tt0100405,65.774,7.4
115.0, tt0118715,23.067,7.9
116.0, tt0416320,20.177,7.3
117.0, tt0094226,28.253,7.8
118.0, tt0367594,153.788,7
120.0, tt0120737,155.007,8.4
121.0, tt0167261,154.464,8.4
122.0, tt0167260,131.543,8.5
123.0, tt0077869,31.569,6.6
124.0, tt0086961,4.518,7.4
125.0, tt0080668,0.909,5.9
126.0, tt0082631,1.406,6.8
127.0, tt0084549,7.778,7.6
128.0, tt0119698,54.111,8.3
129.0, tt0245429,108.603,8.5
132.0, tt0065780,8.191,7.4
133.0, tt0054205,2.646,6.5
134.0, tt0190590,23.328,7.3
135.0, tt0061589,9.179,7.5
136.0, tt0022913,13.713,7.8
137.0, tt0107048,18.336,7.6
138.0, tt0021814,16.503,7.2
139.0, tt0164756,5.571,6.8
140.0, tt0275491,14.754,7.4
141.0, tt0246578,31.783,7.8
142.0, tt0388795,34.837,7.8
143.0, tt0020629,10.67,7.8
144.0, tt0093191,12.358,7.8
145.0, tt0115751,9.568,7.5
146.0, tt0190332,22.209,7.4
147.0, tt0053198,15.348,8.1
148.0, tt0430576,8.404,7
149.0, tt0094625,47.887,8
150.0, tt0083511,15.227,6.7
152.0, tt0079945,22.715,6.5
153.0, tt0335266,19.046,7.4
154.0, tt0084726,11.767,7.5
155.0, tt0468569,99.315,8.5
156.0, tt0329767,5.049,6.4
157.0, tt0088170,10.645,6.6
158.0, tt0119472,14.366,7.6
159.0, tt0109255,7.899,6.2
160.0, tt0000012,9.034,7.1
161.0, tt0240772,31.632,7.4
162.0, tt0099487,57.396,7.7
163.0, tt0349903,41.261,6.5
164.0, tt0054698,18.694,7.7
165.0, tt0096874,39.192,7.7
166.0, tt0082100,19.313,6.5
167.0, tt0272152,13.814,7.2
168.0, tt0092007,18.246,7.2
169.0, tt0100403,49.894,6.2
170.0, tt0289043,48.414,7.2
171.0, tt0083686,9.666,6.4
172.0, tt0098382,15.213,5.7
173.0, tt0046672,17.442,7.1
174.0, tt0102975,10.645,7
175.0, tt0095250,13.135,7.5
176.0, tt0387564,89.263,7.4
177.0, tt0101889,11.42,7.3
178.0, tt0109303,10.689,6.1
179.0, tt0373926,15.103,6.3
180.0, tt0181689,22.661,7.3
182.0, tt0452624,11.159,5.8
183.0, tt0098663,9.391,6.1
184.0, tt0119396,17.073,7.3
185.0, tt0066921,52.7,8.2
186.0, tt0425210,18.619,7.5
187.0, tt0401792,28.412,7.4
189.0, tt0458481,62.851,6.3
