tdmb_id, idmb_id, popularity, vote_average
2, tt0094675, 10.636, 6.8
3, tt0092149, 8.329, 7.2
NaN, NaN, NaN, NaN
5, tt0113101, 20.88, 5.7
6, tt0107286, 9.596, 6.5
NaN, NaN, NaN, NaN
8, tt0825671, 2.628, 7.5
9, tt0425473, 1.135, 7.1
NaN, NaN, NaN, NaN
11, tt0076759, 86.1, 8.2
12, tt0266543, 116.916, 7.8
13, tt0109830, 53.713, 8.5
14, tt0169547, 33.589, 8.0
15, tt0033467, 26.002, 8.0
16, tt0168629, 15.695, 7.9
17, tt0411267, 10.412, 5.8
18, tt0119116, 44.786, 7.5
19, tt0017136, 19.985, 8.2
20, tt0314412, 13.152, 5.8
21, tt0060371, 6.27, 7.4
22, tt0325980, 146.402, 7.8
NaN, NaN, NaN, NaN
24, tt0266697, 48.599, 8.0
25, tt0418763, 30.559, 6.6
26, tt0352994, 6.506, 7.0
27, tt0411705, 28.062, 5.6
28, tt0078788, 32.25, 8.3
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
33, tt0105695, 25.145, 7.9
NaN, NaN, NaN, NaN
35, tt0462538, 131.169, 7.0
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
38, tt0338013, 47.304, 8.1
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
55, tt0245712, 29.425, 7.6
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
58, tt0383574, 143.33, 7.3
59, tt0399146, 13.449, 7.2
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
62, tt0062622, 35.337, 8.1
63, tt0114746, 33.469, 7.6
64, tt0287467, 15.773, 7.6
65, tt0298203, 46.9, 7.1
66, tt0118548, 11.728, 6.6
67, tt0445620, 6.522, 7.0
68, tt0088846, 15.356, 7.7
69, tt0358273, 19.555, 7.5
70, tt0405159, 25.371, 8.0
71, tt0249462, 17.452, 7.6
NaN, NaN, NaN, NaN
73, tt0120586, 35.101, 8.4
74, tt0407304, 40.697, 6.5
75, tt0116996, 32.117, 6.4
76, tt0112471, 21.189, 7.9
77, tt0209144, 26.866, 8.2
78, tt0083658, 38.191, 7.9
79, tt0299977, 26.181, 7.5
80, tt0381681, 15.664, 7.8
81, tt0087544, 36.652, 7.9
82, tt0430357, 17.138, 5.9
83, tt0374102, 24.559, 5.5
NaN, NaN, NaN, NaN
85, tt0082971, 32.64, 7.9
86, tt0430051, 8.314, 6.2
87, tt0087469, 37.196, 7.3
88, tt0092890, 24.952, 7.4
89, tt0097576, 37.531, 7.8
90, tt0086960, 25.01, 7.2
91, tt0023037, 5.631, 7.1
92, tt0169024, 1.842, 7.0
93, tt0052561, 11.538, 7.8
94, tt0436488, 1.13, 10.0
95, tt0120591, 51.131, 6.8
96, tt0092644, 21.12, 6.4
97, tt0084827, 39.651, 6.7
98, tt0172495, 58.253, 8.2
99, tt0185125, 12.625, 7.7
100, tt0120735, 8.885, 8.2
101, tt0110413, 51.891, 8.3
102, tt0315543, 5.999, 6.9
103, tt0075314, 42.384, 8.2
104, tt0130827, 19.359, 7.4
105, tt0088763, 78.768, 8.3
106, tt0093773, 82.789, 7.5
107, tt0208092, 21.058, 7.8
108, tt0108394, 23.239, 7.7
109, tt0111507, 15.97, 7.5
110, tt0111495, 20.056, 8.0
111, tt0086250, 56.585, 8.2
112, tt0243862, 6.811, 6.4
113, tt0374546, 14.389, 7.8
114, tt0100405, 65.774, 7.4
115, tt0118715, 23.067, 7.9
116, tt0416320, 20.177, 7.3
117, tt0094226, 28.253, 7.8
118, tt0367594, 153.788, 7.0
NaN, NaN, NaN, NaN
120, tt0120737, 155.007, 8.4
121, tt0167261, 154.464, 8.4
122, tt0167260, 131.543, 8.5
123, tt0077869, 31.569, 6.6
124, tt0086961, 4.518, 7.4
125, tt0080668, 0.909, 5.9
126, tt0082631, 1.406, 6.8
127, tt0084549, 7.778, 7.6
128, tt0119698, 54.111, 8.3
129, tt0245429, 108.603, 8.5
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
132, tt0065780, 8.191, 7.4
133, tt0054205, 2.646, 6.5
134, tt0190590, 23.328, 7.3
135, tt0061589, 9.179, 7.5
136, tt0022913, 13.713, 7.8
137, tt0107048, 18.336, 7.6
138, tt0021814, 16.503, 7.2
139, tt0164756, 5.571, 6.8
140, tt0275491, 14.754, 7.4
141, tt0246578, 31.783, 7.8
142, tt0388795, 34.837, 7.8
143, tt0020629, 10.67, 7.8
144, tt0093191, 12.358, 7.8
145, tt0115751, 9.568, 7.5
146, tt0190332, 22.209, 7.4
147, tt0053198, 15.348, 8.1
148, tt0430576, 8.404, 7.0
149, tt0094625, 47.887, 8.0
150, tt0083511, 15.227, 6.7
NaN, NaN, NaN, NaN
152, tt0079945, 22.715, 6.5
153, tt0335266, 19.046, 7.4
154, tt0084726, 11.767, 7.5
155, tt0468569, 99.315, 8.5
156, tt0329767, 5.049, 6.4
157, tt0088170, 10.645, 6.6
158, tt0119472, 14.366, 7.6
159, tt0109255, 7.899, 6.2
160, tt0000012, 9.034, 7.1
161, tt0240772, 31.632, 7.4
162, tt0099487, 57.396, 7.7
163, tt0349903, 41.261, 6.5
164, tt0054698, 18.694, 7.7
165, tt0096874, 39.192, 7.7
166, tt0082100, 19.313, 6.5
167, tt0272152, 13.814, 7.2
168, tt0092007, 18.246, 7.2
169, tt0100403, 49.894, 6.2
170, tt0289043, 48.414, 7.2
171, tt0083686, 9.666, 6.4
172, tt0098382, 15.213, 5.7
173, tt0046672, 17.442, 7.1
174, tt0102975, 10.645, 7.0
175, tt0095250, 13.135, 7.5
176, tt0387564, 89.263, 7.4
177, tt0101889, 11.42, 7.3
178, tt0109303, 10.689, 6.1
179, tt0373926, 15.103, 6.3
180, tt0181689, 22.661, 7.3
NaN, NaN, NaN, NaN
182, tt0452624, 11.159, 5.8
183, tt0098663, 9.391, 6.1
184, tt0119396, 17.073, 7.3
185, tt0066921, 52.7, 8.2
186, tt0425210, 18.619, 7.5
187, tt0401792, 28.412, 7.4
NaN, NaN, NaN, NaN
189, tt0458481, 62.851, 6.3
190, , 0.6, 9.0
191, tt0248103, 2.834, 6.8
192, tt0091605, 24.232, 7.4
193, tt0111280, 12.804, 6.5
194, tt0211915, 26.061, 7.9
195, tt0023622, 7.967, 7.5
196, tt0099088, 39.752, 7.4
197, tt0112573, 51.091, 7.9
198, tt0035446, 9.183, 7.9
199, tt0117731, 18.798, 7.3
200, tt0120844, 19.471, 6.4
201, tt0253754, 22.568, 6.3
NaN, NaN, NaN, NaN
203, tt0070379, 15.906, 7.2
204, tt0046268, 12.058, 8.1
205, tt0395169, 22.37, 7.7
206, tt0287624, 4.104, 6.5
207, tt0097165, 28.387, 8.3
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN
211, tt0276820, 1.141, 5.7
212, tt0036613, 11.584, 7.6
213, tt0053125, 16.882, 8.0
214, tt0489270, 70.699, 6.4
215, tt0432348, 63.263, 6.6
216, tt0071141, 7.76, 7.7
217, tt0367882, 33.346, 6.0
218, tt0088247, 55.537, 7.6
219, tt0441909, 13.851, 7.5
220, tt0048028, 12.852, 7.6
221, tt0048545, 12.317, 7.6
222, tt0017668, 3.897, 7.8
223, tt0032976, 17.823, 7.9
224, tt0075902, 3.723, 6.9
225, tt0082222, 3.304, 6.8
226, tt0171804, 18.299, 7.5
227, tt0086066, 25.694, 7.3
228, tt0020697, 9.608, 7.3
229, tt0026138, 16.784, 7.6
NaN, NaN, NaN, NaN
231, tt0365737, 13.383, 6.4
232, tt0086216, 12.671, 7.1
233, tt0080117, 12.224, 7.1
234, tt0010323, 17.386, 7.9
235, tt0092005, 22.434, 7.9
236, tt0110598, 11.563, 6.9
237, tt0289635, 9.552, 5.9
238, tt0068646, 83.79, 8.7
239, tt0053291, 24.435, 8.2
240, tt0071562, 58.602, 8.6
