title,genre,year
The Shining,Drama,1980
The Blue Lagoon,Adventure,1980
Star Wars: Episode V - The Empire Strikes Back,Action,1980
Airplane!,Comedy,1980
Caddyshack,Comedy,1980
Friday the 13th,Horror,1980
The Blues Brothers,Action,1980
Raging Bull,Biography,1980
Superman II,Action,1980
The Long Riders,Biography,1980
Any Which Way You Can,Action,1980
The Gods Must Be Crazy,Adventure,1980
Popeye,Adventure,1980
Ordinary People,Drama,1980
Dressed to Kill,Crime,1980
Somewhere in Time,Drama,1980
Fame,Drama,1980
9 to 5,Comedy,1980
The Fog,Horror,1980
Stir Crazy,Comedy,1980
Cruising,Crime,1980
Heaven's Gate,Adventure,1980
The Final Countdown,Action,1980
Xanadu,Fantasy,1980
Urban Cowboy,Drama,1980
Altered States,Horror,1980
Little Darlings,Comedy,1980
Raise the Titanic,Action,1980
Brubaker,Crime,1980
American Gigolo,Crime,1980
My Bodyguard,Comedy,1980
Prom Night,Horror,1980
Smokey and the Bandit II,Action,1980
Cattle Annie and Little Britches,Drama,1980
Seems Like Old Times,Comedy,1980
Private Benjamin,Comedy,1980
The Hollywood Knights,Comedy,1980
Motel Hell,Comedy,1980
The Jazz Singer,Drama,1980
Coal Miner's Daughter,Biography,1980
The Watcher in the Woods,Family,1980
Breaker Morant,Drama,1980
The Stunt Man,Action,1980
Where the Buffalo Roam,Biography,1980
The Awakening,Horror,1980
Cheech and Chong's Next Movie,Comedy,1980
The Island,Action,1980
The Boogey Man,Horror,1980
The Nude Bomb,Action,1980
Lion of the Desert,Biography,1980
Stardust Memories,Comedy,1980
Melvin and Howard,Comedy,1980
Can't Stop the Music,Biography,1980
Bronco Billy,Action,1980
City of Women,Comedy,1980
The Private Eyes,Comedy,1980
When Time Ran Out...,Action,1980
Oh Heavenly Dog,Comedy,1980
The Octagon,Action,1980
Hangar 18,Sci-Fi,1980
Herbie Goes Bananas,Adventure,1980
The Competition,Drama,1980
It's My Turn,Comedy,1980
Honeysuckle Rose,Drama,1980
Resurrection,Drama,1980
Fatso,Comedy,1980
Moscow Does Not Believe in Tears,Comedy,1980
The Fiendish Plot of Dr. Fu Manchu,Comedy,1980
Serial,Comedy,1980
Hero at Large,Comedy,1980
